year,emissions,index
1982,nh3,102.1540519
1983,nh3,102.4576137
1984,nh3,103.4526737
1985,nh3,102.5312376
1986,nh3,102.0715668
1987,nh3,103.2049571
1988,nh3,101.1893674
1989,nh3,99.8374759
1990,nh3,101.9621589
1991,nh3,101.5716146
1992,nh3,97.3616519
1993,nh3,95.5613771
1994,nh3,97.2226232
1995,nh3,94.7998609
1996,nh3,97.6246838
1997,nh3,99.318205
1998,nh3,99.7757317
1999,nh3,97.6149383
2000,nh3,95.4210888
2001,nh3,93.5711191
2002,nh3,92.9776663
2003,nh3,91.1943166
2004,nh3,92.5698582
2005,nh3,90.3863341
2006,nh3,88.8781027
2007,nh3,86.5073281
2008,nh3,82.8037364
2009,nh3,83.1074941
2010,nh3,83.82409
2011,nh3,83.3206734
2012,nh3,82.3898246
2013,nh3,81.5875411
2014,nh3,84.4406426
2015,nh3,84.9373244
2016,nh3,86.2788043
2017,nh3,87.5137958
2018,nh3,87.0982647
2019,nh3,86.0591045
2020,nh3,83.6682632
1982,nox,94.3908185
1983,nox,93.284141
1984,nox,92.1340928
1985,nox,95.3562814
1986,nox,98.3000481
1987,nox,100.8190519
1988,nox,102.8585553
1989,nox,104.68463
1990,nox,99.5218167
1991,nox,97.2014296
1992,nox,94.9471123
1993,nox,90.1436386
1994,nox,89.0688471
1995,nox,85.790488
1996,nox,82.4158753
1997,nox,76.8008138
1998,nox,75.031232
1999,nox,71.4508396
2000,nox,68.8249121
2001,nox,67.4202318
2002,nox,64.1089347
2003,nox,63.2411763
2004,nox,61.4206481
2005,nox,60.542524
2006,nox,58.5678008
2007,nox,55.9996044
2008,nox,50.5070597
2009,nox,44.0305538
2010,nox,43.0347592
2011,nox,40.0843296
2012,nox,40.790042
2013,nox,38.6477363
2014,nox,36.1449267
2015,nox,34.937289
2016,nox,31.7469716
2017,nox,30.7436966
2018,nox,29.3891275
2019,nox,27.7160884
2020,nox,24.0536124
1982,so2,64.7625299
1983,so2,59.7775522
1984,so2,57.5161469
1985,so2,57.8455708
1986,so2,60.063906
1987,so2,59.8201841
1988,so2,58.8953923
1989,so2,57.1302356
1990,so2,54.7120102
1991,so2,53.6657069
1992,so2,52.251762
1993,so2,47.4748395
1994,so2,43.1630607
1995,so2,38.8056091
1996,so2,32.9888201
1997,so2,26.8792945
1998,so2,26.8438796
1999,so2,20.7048149
2000,so2,19.7723026
2001,so2,18.7115098
2002,so2,16.8077084
2003,so2,16.3428768
2004,so2,13.8467536
2005,so2,12.0607498
2006,so2,11.3561815
2007,so2,9.888762
2008,so2,8.3284906
2009,so2,6.8399243
2010,so2,6.9632918
2011,so2,6.5385271
2012,so2,7.0603842
2013,so2,6.0943146
2014,so2,4.9627084
2015,so2,4.0044777
2016,so2,2.9273301
2017,so2,2.8602753
2018,so2,2.6584129
2019,so2,2.3923856
2020,so2,2.0842435
1982,voc,103.7343928
1983,voc,103.7145439
1984,voc,96.8577246
1985,voc,104.3442301
1986,voc,108.5486206
1987,voc,110.462585
1988,voc,113.1640141
1989,voc,115.1249604
1990,voc,115.547339
1991,voc,113.7758755
1992,voc,109.7998548
1993,voc,104.408744
1994,voc,99.2419409
1995,voc,94.6417486
1996,voc,91.8935601
1997,voc,87.7264603
1998,voc,83.0291138
1999,voc,74.4279651
2000,voc,68.9505619
2001,voc,65.5124783
2002,voc,61.327623
2003,voc,57.3002594
2004,voc,52.4475655
2005,voc,48.7234125
2006,voc,46.6124222
2007,voc,44.6717125
2008,voc,40.9353958
2009,voc,36.3070739
2010,voc,34.6211218
2011,voc,33.4712877
2012,voc,32.6800216
2013,voc,31.426351
2014,voc,30.6171359
2015,voc,30.6005133
2016,voc,29.8534779
2017,voc,29.9692548
2018,voc,30.5524425
2019,voc,30.02432
2020,voc,28.3667748
1982,pm25,51.6687619
1983,pm25,49.9148639
1984,pm25,45.0386643
1985,pm25,49.6039603
1986,pm25,51.6237373
1987,pm25,47.4669795
1988,pm25,46.5125423
1989,pm25,45.9210115
1990,pm25,45.1464324
1991,pm25,45.0208912
1992,pm25,43.4841084
1993,pm25,39.9317132
1994,pm25,38.1318644
1995,pm25,34.7399506
1996,pm25,33.6113365
1997,pm25,31.8750979
1998,pm25,30.3309612
1999,pm25,29.7594456
2000,pm25,26.7690467
2001,pm25,26.1943601
2002,pm25,23.2396378
2003,pm25,23.0688764
2004,pm25,22.526068
2005,pm25,22.2447701
2006,pm25,21.9442114
2007,pm25,20.2306282
2008,pm25,18.7188194
2009,pm25,17.311811
2010,pm25,17.9644884
2011,pm25,16.6643412
2012,pm25,16.6844609
2013,pm25,16.7757351
2014,pm25,16.2581355
2015,pm25,15.9839578
2016,pm25,15.5155253
2017,pm25,15.8379145
2018,pm25,16.3681292
2019,pm25,15.8220564
2020,pm25,14.6750458
1982,pm10,60.1065766
1983,pm10,59.2695717
1984,pm10,52.9830048
1985,pm10,58.4926661
1986,pm10,60.1575386
1987,pm10,58.8128124
1988,pm10,57.6782101
1989,pm10,57.9648663
1990,pm10,56.0350669
1991,pm10,55.6851188
1992,pm10,52.7125469
1993,pm10,48.2568725
1994,pm10,45.5958563
1995,pm10,42.1260759
1996,pm10,41.5277065
1997,pm10,39.0288105
1998,pm10,36.9891712
1999,pm10,36.1523176
2000,pm10,33.9586183
2001,pm10,34.5371285
2002,pm10,30.3462298
2003,pm10,32.128645
2004,pm10,29.7796004
2005,pm10,29.0502319
2006,pm10,28.2517583
2007,pm10,26.1705033
2008,pm10,23.9186396
2009,pm10,22.2329103
2010,pm10,23.9348643
2011,pm10,22.1201484
2012,pm10,21.3407111
2013,pm10,22.3608983
2014,pm10,21.6702889
2015,pm10,21.3458513
2016,pm10,21.523916
2017,pm10,22.5181512
2018,pm10,22.293787
2019,pm10,21.815119
2020,pm10,19.829743
