Entity,Ammonia,NMVOC,Nitrogen oxides,PM10,PM2.5,Sulphur dioxide
Agriculture,253000,117500,7200,17000,4300,
Energy production,200,4000,199700,4600,3600,66800
Fugitive emissions,200,129300,2000,1900,1200,2500
Industrial processes,3800,443000,1300,53200,13900,8600
Manufacturing industry & construction,2100,19400,139100,18000,17400,38700
Military aircraft and naval shipping,,600,12500,200,200,1500
Non-road transport,,12500,137900,3900,3700,13400
Other,12900,3600,200,200,100,
Road transport,4400,31800,299800,19900,13400,1300
Small non-road mobile sources & machinery,2200,50400,91800,47600,46600,45800
Waste,10100,6500,1400,4000,3600,700
